Date,Open,High,Low,Close,Adj Close,Volume
2020-05-04,37.650002,38.549999,37.450001,37.849998,37.569801,1954500
2020-05-05,38.340000,38.619999,37.980000,38.070000,37.788177,1333600
2020-05-06,38.279999,38.500000,37.560001,37.669998,37.391136,1519600
2020-05-07,38.180000,38.509998,37.160000,37.299999,37.023880,1695200
2020-05-08,37.910000,38.150002,37.349998,37.730000,37.450691,2718100
2020-05-11,37.360001,38.910000,37.330002,38.490002,38.205070,1842900
2020-05-12,38.590000,38.750000,37.840000,37.860001,37.579735,1269200
2020-05-13,37.700001,38.000000,36.830002,37.470001,37.192619,1827800
2020-05-14,36.990002,37.740002,36.779999,37.660000,37.381210,1804100
2020-05-15,37.160000,38.009998,36.980000,37.759998,37.480469,1046300
2020-05-18,38.599998,39.349998,38.389999,39.049999,38.760921,2948700
2020-05-19,39.070000,40.320000,38.560001,39.259998,38.969368,1999600
2020-05-20,39.810001,40.360001,38.630001,38.840000,38.552475,2970400
2020-05-21,38.639999,39.230000,38.480000,38.560001,38.274551,1860800
2020-05-22,38.599998,39.959999,38.509998,39.900002,39.604633,1334700
2020-05-26,40.410000,41.099998,40.240002,40.400002,40.100925,1936300
2020-05-27,40.889999,41.080002,39.389999,40.279999,39.981819,2711500
2020-05-28,40.439999,41.540001,40.119999,41.060001,40.756046,1863000
2020-05-29,40.930000,42.070000,40.709999,41.610001,41.301968,2198200
2020-06-01,41.549999,41.680000,40.590000,40.660000,40.359005,2653800
2020-06-02,40.980000,41.180000,40.119999,40.209999,39.912334,2635300
2020-06-03,40.509998,40.509998,39.419998,40.080002,39.783295,2450700
2020-06-04,39.759998,40.919998,39.630001,40.770000,40.549126,2720700
2020-06-05,41.480000,41.840000,40.490002,40.700001,40.479504,2918800
2020-06-08,40.950001,41.320000,40.580002,40.700001,40.479504,2004200
2020-06-09,40.500000,40.549999,39.970001,40.009998,39.793240,2279500
2020-06-10,40.110001,41.070000,39.669998,40.689999,40.469555,3815800
2020-06-11,39.779999,39.980000,38.410000,38.520000,38.311314,2001400
2020-06-12,39.320000,39.689999,38.049999,38.970001,38.758877,1827200
2020-06-15,38.299999,40.340000,37.990002,39.779999,39.564484,1969200
2020-06-16,40.799999,40.830002,39.490002,40.049999,39.833023,1679900
2020-06-17,40.290001,41.520000,40.139999,40.939999,40.718201,2672400
2020-06-18,41.020000,42.990002,40.869999,42.389999,42.160347,4011800
2020-06-19,42.799999,43.029999,41.580002,42.160000,41.931595,3432800
2020-06-22,42.130001,42.250000,41.259998,41.509998,41.285114,2432400
2020-06-23,42.000000,43.020000,41.930000,42.459999,42.229965,1763300
2020-06-24,42.189999,42.400002,41.439999,41.560001,41.334843,1288700
2020-06-25,41.490002,41.970001,40.919998,41.400002,41.175713,1975400
2020-06-26,41.410000,41.990002,41.240002,41.349998,41.125977,2257500
2020-06-29,41.660000,41.770000,40.860001,41.619999,41.394516,1609400
2020-06-30,41.610001,41.990002,41.230000,41.709999,41.484032,1549300
2020-07-01,41.970001,42.250000,41.020000,41.150002,40.927067,962400
2020-07-02,41.630001,42.310001,41.500000,42.020000,41.792351,1261200
2020-07-06,42.669998,43.119999,42.540001,43.049999,42.816772,1863600
2020-07-07,42.860001,44.709999,42.759998,44.139999,43.900867,2037300
