Date,Open,High,Low,Close,Adj Close,Volume
2020-05-04,86.769997,88.970001,86.059998,88.959999,88.959999,4212200
2020-05-05,88.779999,89.769997,88.440002,88.970001,88.970001,3020100
2020-05-06,89.220001,89.730003,86.410004,86.589996,86.589996,3840900
2020-05-07,90.349998,95.400002,90.230003,95.290001,95.290001,10442000
2020-05-08,96.639999,98.769997,95.029999,98.519997,98.519997,4851100
2020-05-11,96.480003,97.459999,95.980003,96.720001,96.720001,3732800
2020-05-12,96.180000,96.669998,94.550003,94.610001,94.610001,3773600
2020-05-13,94.389999,94.529999,91.500000,92.779999,92.779999,3256900
2020-05-14,92.540001,95.070000,92.160004,94.910004,94.910004,3990100
2020-05-15,95.019997,97.669998,93.730003,97.320000,97.320000,6715500
2020-05-18,98.160004,102.730003,98.070000,101.900002,101.900002,6383600
2020-05-19,98.410004,99.760002,96.150002,98.599998,98.599998,21394500
2020-05-20,99.139999,99.800003,97.800003,98.139999,98.139999,5978700
2020-05-21,98.750000,98.750000,93.000000,94.389999,94.389999,5586900
2020-05-22,94.540001,96.720001,94.349998,95.800003,95.800003,4849300
2020-05-26,96.919998,97.239998,94.459999,95.570000,95.570000,5007200
2020-05-27,95.660004,98.169998,95.059998,97.199997,97.199997,4540400
2020-05-28,97.519997,99.830002,97.150002,99.220001,99.220001,5457700
2020-05-29,99.269997,100.400002,97.320000,100.040001,100.040001,9777300
2020-06-01,99.959999,101.000000,99.320000,99.699997,99.699997,2903300
2020-06-02,98.660004,100.500000,98.510002,100.410004,100.410004,4720200
2020-06-03,100.910004,102.349998,100.440002,101.209999,101.209999,3756300
2020-06-04,101.540001,101.690002,99.790001,100.169998,100.169998,2534100
2020-06-05,101.300003,102.970001,100.500000,101.129997,101.129997,3957900
2020-06-08,100.739998,105.110001,100.440002,104.459999,104.459999,5043500
2020-06-09,102.180000,103.540001,101.769997,103.190002,103.190002,5037000
2020-06-10,102.809998,106.720001,102.809998,105.790001,105.790001,6273500
2020-06-11,104.510002,105.309998,100.739998,100.889999,100.889999,7689300
2020-06-12,104.250000,105.050003,100.260002,102.309998,102.309998,5289300
2020-06-15,101.320000,105.190002,100.730003,104.680000,104.680000,3842000
2020-06-16,104.000000,104.000000,100.110001,102.889999,102.889999,5766100
2020-06-17,103.000000,104.800003,102.339996,102.629997,102.629997,3757400
2020-06-18,103.820000,106.839996,103.250000,106.389999,106.389999,4698900
2020-06-19,107.339996,109.000000,106.389999,106.900002,106.900002,9268300
2020-06-22,106.860001,108.699997,106.029999,106.599998,106.599998,5090500
2020-06-23,103.699997,110.459999,103.500000,107.160004,107.160004,22929100
2020-06-24,105.459999,109.139999,104.570000,108.430000,108.430000,66903100
2020-06-25,109.779999,111.580002,108.510002,110.190002,110.190002,55407300
2020-06-26,109.150002,109.849998,104.730003,105.199997,105.199997,25367800
2020-06-29,105.790001,106.260002,103.949997,105.959999,105.959999,9096800
2020-06-30,105.900002,106.199997,104.000000,104.150002,104.150002,10833800
2020-07-01,105.680000,106.250000,103.849998,106.129997,106.129997,9599900
2020-07-02,106.949997,107.339996,105.349998,106.010002,106.010002,6411900
2020-07-06,106.599998,107.680000,106.199997,106.779999,106.779999,5256500
2020-07-07,106.440002,107.589996,105.550003,105.800003,105.800003,5572500
2020-07-08,106.250000,106.629997,105.370003,106.610001,106.610001,4300400
2020-07-09,106.660004,106.720001,105.050003,106.169998,106.169998,3956600
2020-07-10,105.820000,107.190002,105.290001,107.050003,107.050003,4557900
2020-07-13,106.889999,107.550003,104.230003,104.519997,104.519997,5752500
2020-07-14,103.570000,106.540001,103.570000,105.389999,105.389999,7881900
2020-07-15,105.510002,106.080002,104.529999,104.919998,104.919998,4476300
2020-07-16,104.500000,104.860001,103.430000,104.489998,104.489998,5751200
2020-07-17,104.870003,105.730003,104.089996,105.349998,105.349998,4009300
2020-07-20,105.400002,106.279999,105.029999,106.139999,106.139999,3632400
2020-07-21,106.349998,106.480003,105.250000,105.580002,105.580002,3602400
2020-07-22,105.660004,106.339996,104.739998,104.930000,104.930000,4655300
2020-07-23,105.209999,105.279999,104.360001,104.510002,104.510002,6640800
2020-07-24,104.519997,105.230003,104.230003,104.930000,104.930000,4990000
2020-07-27,104.529999,106.269997,104.349998,105.620003,105.620003,7958900
2020-07-28,105.000000,105.500000,104.000000,104.519997,104.519997,3670000
2020-07-29,105.220001,106.370003,104.540001,105.779999,105.779999,3606200
2020-07-30,104.720001,105.949997,104.589996,105.480003,105.480003,2689400
2020-07-31,105.629997,107.419998,105.050003,107.379997,107.379997,4119200
2020-08-03,107.980003,108.739998,106.820000,106.879997,106.879997,4548000
2020-08-04,106.629997,108.419998,106.379997,108.389999,108.389999,2991200
2020-08-05,108.739998,109.160004,107.260002,107.900002,107.900002,3112500
2020-08-06,107.320000,108.300003,107.180000,108.099998,108.099998,4016600
2020-08-07,113.239998,118.000000,113.089996,115.089996,115.089996,13771200
2020-08-10,115.059998,116.650002,113.599998,116.070000,116.070000,4812500
2020-08-11,116.080002,116.199997,113.279999,113.589996,113.589996,4763100
2020-08-12,114.269997,116.239998,114.070000,115.250000,115.250000,3512200
2020-08-13,115.150002,117.150002,114.889999,115.370003,115.370003,3030500
2020-08-14,115.699997,116.089996,114.330002,115.489998,115.489998,2027600
2020-08-17,115.980003,117.320000,115.820000,116.870003,116.870003,3308700
2020-08-18,117.680000,117.730003,115.860001,116.019997,116.019997,2363300
2020-08-19,116.690002,116.930000,114.919998,115.139999,115.139999,2700400
2020-08-20,114.559998,115.860001,114.510002,115.400002,115.400002,2268800
2020-08-21,114.339996,115.250000,113.379997,115.010002,115.010002,2841000
2020-08-24,115.029999,116.089996,114.760002,115.260002,115.260002,2713500
2020-08-25,115.559998,115.559998,114.599998,115.410004,115.410004,2322300
2020-08-26,115.110001,116.239998,114.739998,116.190002,116.190002,2953400
2020-08-27,116.620003,116.620003,115.000000,115.239998,115.239998,2464800
2020-08-28,115.250000,116.349998,114.879997,116.260002,116.260002,2797900
2020-08-31,115.489998,117.110001,115.410004,116.680000,116.680000,3926100
2020-09-01,116.629997,117.330002,115.949997,116.900002,116.900002,2938100
2020-09-02,117.830002,119.199997,117.139999,118.879997,118.879997,3600400
2020-09-03,118.699997,119.150002,113.930000,114.839996,114.839996,4411900
